path,score,clicks,sessions,impressions,# 2026-08-26..2026-09-22 score=6c+3s+0.02i
articles/capsule-wardrobe-2-week-trips.html,102.54,10,13,177,
articles/carry-on-packing-list-10-day-japan.html,64.06,6,7,353,
articles/untranslatable-words.html,57.1,4,6,755,
articles/klook-vs-viator-vs-getyourguide.html,43.1,2,6,655,
articles/hotel-booking-sites-comparison.html,30.0,0,10,0,
countries/japan/index.html,28.18,1,0,1109,
articles/japan-book-in-advance-2026.html,22.16,2,3,58,
articles/travel-insurance-japan.html,21.9,0,0,1095,
articles/what-counts-as-rude.html,19.9,2,2,95,
articles/airport-security-checklist.html,18.86,1,1,493,
articles/best-esim-japan-2026.html,16.28,0,3,364,
articles/esim-activation-and-preparation.html,14.66,1,1,283,
articles/charter-a-boat-for-a-day.html,12.5,0,1,475,
countries/vietnam/index.html,12.3,1,0,315,
articles/best-esim-south-korea-2026.html,11.62,0,0,581,
articles/airport-security-liquids.html,11.08,0,0,554,
articles/suica-pasmo-ic-cards-guide.html,9.88,0,0,494,
articles/getting-around-taiwan.html,9.72,1,1,36,
articles/three-slow-days-in-kyoto.html,9.06,1,1,3,
articles/day-trips-from-tokyo.html,9.0,0,3,0,
articles/klook-vs-kkday.html,9.0,0,3,0,
articles/everyday-carry-essentials-for-travel.html,7.94,1,0,97,
countries/australia/index.html,6.4,0,0,320,
articles/things-to-do-in-sydney.html,6.12,1,0,6,
travel-power/brazil.html,6.1,0,2,5,
articles/how-much-does-japan-cost.html,5.76,0,0,288,
articles/best-esim-europe-2026.html,4.74,0,1,87,
articles/tokyo-to-kyoto-shinkansen-vs-flight-vs-bus.html,4.56,0,0,228,
articles/getting-around-melbourne.html,4.34,0,0,217,
articles/airport-security-bag-rules.html,4.2,0,0,210,
articles/where-to-stay-in-tokyo.html,3.7,0,1,35,
travel-power/spain.html,3.18,0,1,9,
checklist-generator.html,3.08,0,1,4,
articles/best-esim-japan-korea-vietnam.html,3.08,0,1,4,
travel-power/new-zealand.html,3.04,0,1,2,
articles/things-to-do-in-seoul.html,3.02,0,1,1,
travel-power/italy.html,3.02,0,1,1,
articles/bangkok-river-cruises-guide.html,3.0,0,1,0,
articles/things-to-do-in-chiang-mai.html,3.0,0,1,0,
countries/japan,3.0,0,1,0,
articles/chiang-mai-first-timers-guide.html,3.0,0,1,0,
countries/vietnam,3.0,0,1,0,
articles/things-to-do-in-hong-kong.html,3.0,0,1,0,
articles/when-to-activate-travel-esim.html,3.0,0,1,0,
articles/hong-kong-harbour-cruises-guide.html,3.0,0,1,0,
articles/best-esim-usa-2026.html,2.2,0,0,110,
articles/airport-security-packing-moments.html,2.18,0,0,109,
articles/is-travel-insurance-worth-it.html,1.94,0,0,97,
travel-power/index.html,1.78,0,0,89,
articles/best-travel-insurance-2026.html,1.6,0,0,80,
articles/airalo-vs-holafly-vs-saily.html,1.52,0,0,76,
articles/safetywing-vs-world-nomads.html,1.3,0,0,65,
articles/best-time-to-visit-japan-2026.html,1.22,0,0,61,
articles/bangkok-first-timers-guide.html,1.2,0,0,60,
articles/luggage-storage-tokyo.html,0.74,0,0,37,
articles/narita-haneda-to-central-tokyo.html,0.72,0,0,36,
cities/tokyo/asakusa.html,0.64,0,0,32,
articles/osaka-3-day-guide.html,0.6,0,0,30,
articles/jr-pass-worth-it-2026.html,0.58,0,0,29,
articles/japan-city-sightseeing-passes-worth-it.html,0.56,0,0,28,
articles/yogyakarta-first-timers-guide.html,0.52,0,0,26,
articles/first-day-in-tokyo-arrival-plan.html,0.52,0,0,26,
travel-power/united-kingdom.html,0.48,0,0,24,
tools/esim-finder.html,0.46,0,0,23,
articles/getting-around-sydney.html,0.46,0,0,23,
travel-power/united-states.html,0.38,0,0,19,
articles/getting-around-perth.html,0.34,0,0,17,
cities/tokyo/index.html,0.32,0,0,16,
articles/taipei-first-timers-guide.html,0.3,0,0,15,
articles/best-travel-insurance-digital-nomads-2026.html,0.3,0,0,15,
articles/tokyo-itinerary-5-days.html,0.28,0,0,14,
articles/penang-first-timers-guide.html,0.26,0,0,13,
articles/hanoi-first-timers-guide.html,0.26,0,0,13,
travel-power/switzerland.html,0.24,0,0,12,
articles/bali-first-timers-guide.html,0.22,0,0,11,
articles/cebu-first-timers-guide.html,0.2,0,0,10,
articles/kyoto-autumn-2026.html,0.2,0,0,10,
articles/best-time-to-visit-vietnam.html,0.2,0,0,10,
travel-power/thailand.html,0.16,0,0,8,
articles/seoul-first-timers-guide.html,0.16,0,0,8,
travel-power/united-arab-emirates.html,0.14,0,0,7,
articles/sydney-first-timers-guide.html,0.14,0,0,7,
articles/ho-chi-minh-city-first-timers-guide.html,0.14,0,0,7,
articles/things-to-do-in-taipei.html,0.1,0,0,5,
articles/manila-first-timers-guide.html,0.1,0,0,5,
articles/phuket-first-timers-guide.html,0.1,0,0,5,
articles/kuala-lumpur-first-timers-guide.html,0.08,0,0,4,
travel-power/canada.html,0.08,0,0,4,
articles/singapore-first-timers-guide.html,0.08,0,0,4,
travel-power/france.html,0.06,0,0,3,
articles/hong-kong-first-timers-guide.html,0.06,0,0,3,
articles/shinjuku-neighbourhood-guide.html,0.06,0,0,3,
articles/pocket-wifi-vs-esim.html,0.06,0,0,3,
articles/melbourne-first-timers-guide.html,0.04,0,0,2,
articles/bali-7-day-itinerary.html,0.04,0,0,2,
travel-power/south-africa.html,0.04,0,0,2,
articles/best-esim-thailand-2026.html,0.04,0,0,2,
travel-power/india.html,0.02,0,0,1,
articles/untranslatable-words.,0.02,0,0,1,
travel-power/germany.html,0.02,0,0,1,
travel-power/australia.html,0.02,0,0,1,
articles/first-international-trip-checklist.html,0.02,0,0,1,
articles/perth-first-timers-guide.html,0.02,0,0,1,
articles/hoi-an-first-timers-guide.html,0.02,0,0,1,
articles/travel-insurance-compared.html,0.02,0,0,1,
articles/carry-on-packing-list-10-day-japan,0.02,0,0,1,
articles/things-to-do-in-melbourne.html,0.02,0,0,1,
